5000 300000
3666 4526 141
3448 4153 -57
696 4826 -30
3389 4194 216
766 2380 148
635 2817 199
1758 3812 54
1311 4568 70
3160 3976 120
337 2769 151
30 3236 -73
2738 3473 -145
566 2703 51
453 3730 -27
503 4816 -122
4887 4975 99
2357 3231 165
371 926 14
4203 4373 185
1117 2993 -36
3751 4027 24
2175 4881 216
381 3009 -10
642 3498 204
1523 3150 249
51 4909 226
3511 3672 114
3642 4419 5
1665 2330 12
1926 4133 -68
34 3192 -144
478 3343 70
160 3443 31
1559 3493 48
1995 2330 -54
2233 3139 43
344 412 -39
151 3310 98
1375 1942 152
3162 3232 169
2665 3698 -39
734 3148 149
3179 3839 230
543 2238 -102
1505 3498 -84
4343 4710 94
1040 2095 130
896 2671 94
1836 2081 2
3249 4546 -16
3444 3506 173
1384 2105 80
2985 3346 213
1172 1842 169
785 2322 -61
1211 1589 -71
209 4190 -92
4673 4779 240
769 1316 -57
1548 2728 168
1035 4410 26
2015 4441 5
191 4764 -135
516 1111 90
475 4754 -74
2753 4057 -46
103 1503 42
984 2055 135
10 2584 225
269 2309 1
538 2306 -26
821 2717 203
171 4611 15
954 1611 -133
3623 4085 -108
1888 3715 -77
1026 3669 -14
1006 3007 196
1920 2467 175
3432 3718 220
1107 4471 162
3385 4791 193
3410 4190 77
2704 4692 149
879 2051 -2
373 1058 -23
2000 4698 241
1183 2093 -5
1322 2795 -5
3078 4167 -115
1230 4205 15
2485 4623 63
1153 3244 100
6 4850 -69
1628 4352 18
2145 3293 -57
1626 3892 -71
693 3591 -48
1874 3223 90
651 1705 -114
3919 4300 166
1554 4253 200
4703 4997 21
3580 4694 36
226 4837 -52
72 1199 59
3020 3447 77
2163 4517 224
1927 2600 248
3848 4021 140
937 2358 77
113 3385 65
2600 2901 -50
997 4199 108
1345 2458 -93
2211 3627 247
1590 1739 150
2882 4754 89
8 599 -38
3850 4833 232
1115 4737 184
215 3948 222
814 1379 -144
2129 3525 190
488 3997 163
3611 3932 155
380 3037 -89
485 4686 -33
918 1130 215
3681 4343 56
1505 3961 28
1017 4586 128
3203 3262 -40
2296 4193 223
668 2524 71
3786 4652 98
1234 3202 -57
3540 3633 -69
777 1641 131
14 4523 93
1504 4263 63
559 2984 214
1536 3686 -147
1832 2208 91
63 3085 191
259 4083 142
1035 1533 237
2023 2628 -130
627 2333 35
4359 4619 -30
729 1204 98
844 4862 97
1491 4061 170
3435 3897 117
2280 3267 182
1519 2231 12
1525 2928 216
840 4901 -87
3244 4136 12
2412 4275 -139
315 414 129
3866 4306 179
2404 3212 19
2731 4596 -61
664 1997 149
196 4672 -146
47 365 -13
2494 4559 107
1346 3366 -2
3980 4540 234
130 1319 144
348 2729 -12
1082 3503 -53
340 2347 -42
405 4068 -147
3268 4787 -47
2729 3628 219
850 3548 -81
371 503 183
401 3313 -124
327 1967 23
2406 3926 175
3307 4960 218
2493 3793 129
2037 4024 194
2756 4178 235
1224 4114 102
28 4203 84
1557 4060 14
2321 4847 -28
2835 4897 45
2352 3849 10
293 3250 197
1286 4089 8
3290 4915 107
564 736 -89
90 3116 143
3845 4707 238
2510 2982 -150
1128 2062 191
1366 3667 -138
2691 3818 173
1051 2978 214
1842 3148 -117
2123 4724 97
290 1022 -53
2145 4020 214
2348 4711 -110
1365 4327 -143
1921 2379 5
2383 3667 117
995 4752 211
1339 3923 1
158 1057 -86
3327 4379 40
3442 3546 -84
422 2426 -69
3584 4455 247
659 4306 -127
516 1914 145
2862 2978 194
4197 4270 175
1316 4169 60
2506 3244 168
1912 2583 9
552 3868 15
2723 2869 35
592 4308 32
1429 3506 69
288 1806 202
4021 4886 72
131 2875 -113
2934 2992 64
240 2994 90
2527 3983 128
2518 3098 3
760 3565 22
4016 4618 -32
2401 2875 179
645 3510 -137
667 2240 -1
3984 4346 241
1185 4586 -143
4529 4927 69
3089 3938 143
2256 4747 171
404 4477 -114
1477 3533 221
273 390 56
856 1054 198
133 852 188
2850 4194 91
2855 3795 139
473 817 218
2793 4828 92
1008 4741 -147
3075 3891 144
3510 4072 7
41 3323 204
1820 2346 244
1242 3287 63
63 4148 69
608 994 218
248 4871 171
99 2094 -11
2041 3151 200
2405 3369 -36
1666 1762 -2
802 4647 -92
2752 3769 -96
472 3597 223
2360 3334 -76
4014 4920 -120
1207 4881 -58
420 4430 227
23 1454 -130
376 1987 131
1201 3049 61
19 3808 21
1828 4075 117
4686 4930 87
630 2901 15
1824 4655 80
1941 4206 18
2753 4020 -102
790 3063 -52
618 3928 -35
663 2601 -68
583 4148 128
2102 3725 49
3279 3746 193
2996 4541 236
773 2382 195
3576 4998 -133
136 206 -25
2250 2731 53
1525 4790 -140
3076 4553 9
3136 3662 192
963 3124 230
267 3281 66
23 4574 -122
99 2622 217
167 4191 166
1592 4660 120
133 4807 15
240 2013 135
1534 3270 215
188 3888 21
3045 4517 -103
1012 4984 32
2373 4751 188
1428 1535 33
3003 3430 154
540 3083 117
2008 4471 92
2624 3590 -127
2001 4158 -27
1838 4083 12
288 546 -124
144 2358 126
2231 4138 -119
1327 2639 91
833 1089 -1
593 2817 121
956 4676 -137
2393 3248 -121
727 3910 11
1946 3447 36
1447 1788 -25
994 1370 -103
459 1933 62
400 2012 56
4099 4850 3
2589 4390 143
785 3812 160
2730 4982 211
1128 1133 184
623 4762 14
1732 2962 74
1844 2494 177
1460 2196 -109
3836 4025 219
1312 3050 -133
2148 4361 247
3207 3694 -139
711 4383 149
3476 3662 -131
1518 4342 -9
431 4464 234
2495 3201 -8
4046 4320 -2
2100 3642 -144
411 3529 -55
305 3104 93
1201 4906 102
1071 3344 -109
2034 3416 147
577 1372 131
4641 4885 29
1767 2257 64
628 3382 -94
529 1491 148
1086 3598 -130
3607 3954 39
2115 3186 -99
1754 4967 -35
682 4532 229
1622 1748 -43
1913 2389 68
2583 3743 -49
2916 4221 60
877 2775 46
1392 4206 137
2075 3846 219
230 458 8
3707 4079 230
1417 2638 197
2316 2603 -68
4021 4865 80
998 4042 -82
286 4809 -134
247 576 35
1721 3762 90
1975 3256 -33
2819 4497 -29
25 4213 118
2937 3213 96
140 193 -18
59 4302 -63
3144 4977 -111
311 2981 173
544 1087 -92
3368 3578 160
174 3277 0
1963 2219 134
1113 3891 84
1545 4154 -16
2447 4197 122
2917 4193 85
967 2827 -104
3756 3777 -47
578 4166 -45
2715 3251 -55
2786 4932 31
777 1715 59
331 2206 189
215 2737 192
1396 4029 -49
762 3287 62
2977 3772 130
1021 2965 139
2116 4881 154
1797 3716 -136
599 4392 78
2722 4821 206
3190 4681 -130
4017 4342 57
3177 4499 85
84 1113 -84
681 1364 -54
2714 2744 129
2233 4345 -110
3510 3918 32
1137 4773 198
2236 3085 76
2169 4639 88
2854 4415 219
616 1191 -64
3276 3945 240
737 2821 182
4152 4586 -10
1353 1569 -89
1163 3434 153
3194 4063 -140
1775 4627 44
408 2781 247
90 2243 8
1590 2358 184
1416 1435 135
116 2475 111
3212 4946 -64
851 4864 85
669 3224 173
90 798 62
2852 4335 66
3261 4631 -141
451 3037 -23
3679 4257 -76
1993 2567 -57
1466 2540 -82
145 2167 18
2009 3912 -87
211 1680 93
669 4219 237
1907 4365 74
3149 3829 -25
1614 3129 99
1209 4535 94
1823 3245 -66
2822 3435 -37
1614 4875 31
579 2308 53
128 4185 -56
482 1524 -54
2408 3524 76
3502 3816 20
1562 2522 -18
2222 4177 214
2010 2774 30
627 3642 -146
4124 4957 57
552 2871 7
2826 3318 -89
4020 4021 -141
153 4387 18
3119 4744 230
1527 1946 -56
1829 3402 60
2606 3907 -130
1818 3414 -97
401 914 -113
284 2062 44
269 3922 46
2245 4737 30
583 3602 168
630 1720 -2
616 705 -104
480 4490 -106
1661 3237 32
261 2178 -140
1026 2800 -114
2409 4252 -104
1530 3196 23
1871 3757 121
473 3710 -112
1771 3445 -149
2117 2960 131
1286 3130 43
1231 2052 107
3747 4210 184
3240 3495 -97
2193 2516 232
3712 4167 93
787 2608 81
1163 4406 243
2707 2905 220
3936 4127 194
1809 4090 201
1121 2997 -56
2418 3524 -116
1795 4247 205
42 4697 197
868 1873 -58
3491 4546 126
268 2929 172
359 3992 32
1064 2287 -119
917 2807 22
2926 4845 218
541 4092 69
760 1124 47
2969 3430 -137
3246 4106 23
1136 4197 153
1560 3501 133
115 4286 -80
234 519 -117
243 4483 -117
228 2328 -142
201 2634 76
276 2529 146
2912 4021 -23
1774 4403 187
1076 1908 -78
519 2390 88
1189 4540 152
3083 4265 -138
493 1171 97
4215 4462 25
2592 4399 177
2728 3695 -24
1677 1852 -69
1218 1940 172
3424 4316 76
2168 2434 241
1895 4059 203
3521 3623 214
1208 2935 -1
3486 4924 -138
56 3600 78
1775 4122 -86
1615 2884 201
561 1065 180
441 2011 -111
461 1239 211
1545 2645 140
1004 2124 63
1598 2362 224
672 763 117
4811 4821 178
601 2952 -34
3281 4752 153
2873 3033 31
1000 4963 47
1648 2357 14
1717 2303 7
1095 2574 -86
1333 2265 151
2264 3360 -12
7 1436 -53
2373 4759 164
193 3062 144
1009 2676 87
1367 1450 131
2499 4315 212
3222 3881 231
493 2827 164
4390 4626 102
1033 1618 -140
3334 4447 197
2439 4371 154
2238 4287 92
504 2563 190
1343 3816 -54
1964 4260 -52
145 851 -29
1122 4436 152
408 2460 114
2320 4463 18
1674 3871 -115
363 3635 -94
367 2724 172
265 3579 47
951 3570 -122
3771 3887 133
2074 3745 78
1996 2027 159
238 414 197
2431 3153 -120
451 801 117
3035 3551 138
1460 4907 -118
755 4807 76
2871 2978 183
87 4264 179
2655 4260 178
742 3899 -40
1251 2065 60
467 3134 -14
2548 2847 -110
126 4976 7
47 4844 -81
641 4062 147
116 1916 135
3919 4741 30
548 4865 142
352 1715 136
3763 4272 -80
622 3696 -36
1157 3192 233
904 3219 37
1881 4977 50
39 1614 -19
2590 3963 -122
2935 3785 -109
592 1783 84
1130 1259 190
1200 2546 183
631 3144 106
437 2002 36
122 4363 234
1139 3647 -77
1547 3684 222
1277 1763 -41
1474 4304 -16
54 1568 41
1285 4052 50
1083 2111 81
2516 3040 3
321 4367 2
568 2980 -33
2128 4398 248
2136 3246 200
3436 4550 -148
2729 3950 79
1813 2188 35
2304 3959 21
1696 3518 159
4519 4678 -102
2193 4551 215
794 3876 186
3380 3693 170
57 576 -99
704 3683 174
1545 1596 22
1346 2029 20
937 4104 137
49 4551 124
3289 4569 239
573 4251 125
1575 1707 -83
681 2994 74
2258 3952 108
1627 3602 -93
761 4844 176
888 4856 119
366 3917 249
747 1658 89
2219 4336 126
250 2346 10
935 2029 -27
1933 4446 57
3431 3715 45
1426 4410 165
640 3592 -92
1624 1892 238
1006 4547 103
1845 3672 84
2355 4122 159
2106 4900 138
690 3730 96
684 1974 -49
1478 2625 55
86 454 169
1036 2268 95
655 2836 182
2094 2931 102
465 1272 -40
3347 3362 136
678 1682 -23
1910 4006 92
264 1074 -37
3499 4248 234
4674 4959 207
1360 2140 -40
1596 4654 18
3924 4562 -105
4124 4781 188
1157 3176 -141
8 2949 -55
269 4991 146
138 2968 221
2537 3384 128
888 893 185
1690 4787 -84
788 2989 163
41 4032 -65
1598 3488 137
2813 4310 188
1091 4269 -42
898 4741 222
1129 3389 154
444 1122 -60
3814 3924 97
227 1720 -34
229 1606 105
3151 3594 -54
4080 4414 -89
454 1684 184
163 264 -30
81 2707 -78
631 2045 27
910 3322 -143
56 1290 -107
302 2246 176
2721 4721 -115
2803 3627 -131
2523 4404 -33
711 4532 -48
1072 3743 13
26 4796 -30
1361 2864 183
7 390 92
1137 3765 -35
1575 4683 117
651 2123 77
1272 4968 -77
568 1463 62
758 2595 -115
2616 4145 -84
484 2090 -144
1843 4061 138
2394 3118 77
405 1215 162
501 4573 159
2902 4977 -49
518 4387 120
4142 4206 8
3616 4509 -108
155 2834 249
1334 1470 -31
39 160 34
30 480 239
816 4130 45
755 3884 -144
1999 3382 226
43 2534 -69
2478 4189 229
576 2944 -70
1984 2016 171
3940 4234 119
319 4271 190
1422 4100 182
2702 2804 -35
229 944 90
1438 3319 36
1852 3913 52
4088 4476 -124
437 1686 -130
2427 2965 -110
1709 1820 -126
1385 3806 -19
258 1483 214
274 542 -41
700 2165 -1
259 3688 -108
1984 3201 85
409 4656 -24
1163 3166 -90
2708 3857 62
1133 4171 95
2621 3312 113
736 801 160
2002 2341 -40
1793 2514 -93
423 3239 48
3817 4137 -40
3429 4372 206
189 4494 12
670 4364 164
1746 4076 -105
3226 4920 213
3806 4680 -94
3968 4975 -41
371 2004 59
2650 2791 12
2225 4819 127
1180 1327 -25
1472 4742 239
1979 4690 133
1003 1605 212
2289 3085 110
1423 4476 -111
1238 2306 135
2136 2693 -68
1124 1127 182
1092 4786 17
637 1764 124
2396 4752 -139
1177 2301 74
1877 3460 24
796 1661 97
4660 4666 -94
254 276 139
343 1873 -19
189 946 -29
4354 4726 119
371 939 -133
2168 2502 74
1038 1976 193
928 4690 29
897 1170 -14
1036 4269 194
1967 4782 214
511 3487 -36
1516 3918 186
2683 4484 201
3665 3814 124
1632 3457 -46
1218 3186 185
2227 3361 178
1687 2525 -55
3027 3128 204
582 1238 -125
2361 4561 78
680 4433 -53
1552 4837 58
121 3172 -88
728 2399 -122
205 1410 -12
737 2896 23
1640 1805 74
4052 4966 87
351 3462 78
734 1237 140
154 4201 179
2049 4309 196
3043 4626 119
1601 4242 215
1155 2163 21
1056 3936 158
3105 4402 106
4104 4293 124
1981 4299 -15
4395 4720 231
1831 2916 -90
2802 4582 -81
2468 4029 1
1709 2589 97
1391 2684 151
4277 4759 27
1515 4634 210
80 2599 108
1573 4937 -60
20 3423 -144
1053 1815 -65
173 1967 -2
2316 3550 -73
1677 3554 156
244 3888 -70
934 3218 -68
780 3352 42
578 3480 -145
3987 4656 -141
2149 3992 -43
110 951 192
2099 2563 -124
1358 1721 -7
508 3889 207
514 4852 201
186 1264 80
4170 4557 23
384 4861 229
555 905 -45
1739 3940 -125
816 4196 23
1118 4541 5
379 3164 50
100 2330 -72
1391 3653 -32
1218 1918 -28
516 2424 243
2541 3159 -119
635 2102 -91
2056 3565 136
2011 4789 -62
2338 4211 231
1244 3192 108
89 923 73
238 3610 -16
1612 3310 164
3047 3858 -62
697 1154 237
1807 3022 -140
4248 4853 -49
2622 3197 177
1513 2074 -5
3371 4620 -35
17 2675 -12
901 3842 207
1820 4722 -67
656 3354 -68
1183 4822 129
2721 4803 111
367 3841 63
2173 2421 -97
3850 3855 -53
194 2119 145
1717 2793 125
1227 2029 -78
1512 3938 -108
552 3812 239
668 1419 -8
1599 3854 -124
3531 4134 245
3596 4897 194
3220 3543 220
2407 2546 -114
1691 4183 -80
2871 4219 24
3025 3854 -51
1847 2498 78
932 3053 125
2611 3362 215
2187 2429 -119
3689 4530 168
2364 3809 -129
2480 3814 15
2951 3158 124
3093 3900 -30
754 2406 -84
2731 4029 69
3135 3281 136
380 559 163
2104 4065 103
154 4478 20
1111 2722 89
1351 3478 172
2511 4482 100
955 3219 -61
1178 4803 -147
1540 3347 152
734 847 -92
847 916 134
1442 2900 -29
472 4137 -5
1696 4044 -56
1204 3615 79
4594 4887 -89
2083 2638 -114
424 2835 69
1705 2727 -17
944 1798 83
1574 2809 -143
2501 2763 224
153 3246 74
557 4487 198
4116 4864 -135
983 1683 134
2044 3695 107
2111 2365 -15
87 3014 176
3335 3561 -109
154 3230 -21
4016 4529 65
1126 1477 -148
1686 2465 82
2185 4196 -25
522 611 122
1117 2049 -42
1702 3517 25
2157 3049 -85
2245 3791 55
1231 4836 -86
1629 2321 -59
3153 3293 -7
1473 3219 24
992 2295 150
663 4478 -125
1012 4417 -106
3938 4093 -118
2731 3431 210
79 371 46
390 731 250
1767 2744 -39
881 1148 9
1152 4829 221
220 3215 -75
777 1603 -6
1089 4737 248
2298 4650 -22
2033 2065 169
2280 3351 88
2788 4247 -93
2512 4532 224
3292 4984 117
663 1514 86
1014 2692 62
1790 2015 -44
3550 4718 60
794 3398 140
1828 3547 -14
484 1505 133
1397 3034 -149
2378 4826 164
2443 4688 37
3887 4187 -1
1458 4497 7
3964 4056 -86
8 2958 150
21 4775 84
2993 4227 -104
859 2553 221
2054 3793 212
1330 1695 191
1295 1937 82
1646 1934 129
3146 3878 181
2857 4540 3
1120 1317 190
1420 4516 81
3782 4118 102
2140 4278 -3
3927 4339 -100
1868 3011 25
822 1378 125
4209 4796 213
753 773 -3
2396 2527 22
2386 3260 178
312 1340 -33
2795 4896 182
974 2353 221
4096 4520 -57
33 4620 86
3758 4858 -92
1787 4410 53
3510 4198 3
1550 3870 -38
1705 2348 -36
3139 4168 -94
1225 3109 159
1132 1268 -87
1334 2065 126
1670 4036 177
180 2376 48
2047 2671 115
1671 4816 207
1391 4953 -87
3427 3816 -29
81 2768 -106
3817 3882 40
2757 3847 82
4288 4836 -78
277 2462 -58
2705 3510 152
1223 2094 55
2330 2856 230
3776 3991 160
1817 3783 93
15 2017 122
2345 4921 -9
223 225 249
3134 3176 64
845 2374 42
2251 4632 -66
2892 3499 -92
251 3903 32
2138 3049 19
3290 3987 -124
2020 3425 149
1552 3432 47
1734 2771 69
3223 4632 -37
470 2118 211
653 1571 248
298 2147 -69
1692 3024 -116
1251 1744 93
1373 4912 -112
480 4187 174
2346 2824 -115
974 4214 107
574 1022 239
3147 3973 202
2332 3263 245
3258 4019 -69
2247 3338 184
2677 3312 -124
3144 4221 -3
923 2867 -44
3108 4795 24
3041 3600 222
1240 2135 -67
2971 3605 70
3841 4631 149
351 2067 -77
1301 3355 233
1303 1592 34
345 459 -134
543 1849 162
1991 2694 -78
1198 2934 211
1932 2577 -39
954 2128 172
2375 4391 -91
3082 4761 -43
2798 4592 -127
38 4455 68
316 2811 31
3828 4983 -21
472 951 225
888 1727 122
2194 3418 112
531 1460 -70
448 2025 138
1593 3221 195
1761 4551 225
1614 3988 1
2441 4886 -132
1116 4839 153
2027 4664 163
1845 2183 69
1115 2907 -105
2977 4614 -127
1722 3590 112
3374 4103 40
1162 3009 120
956 1445 -148
2129 2331 126
2847 3071 198
1330 2313 121
1540 2191 -44
2735 3318 23
2565 3119 97
87 4107 84
2477 4014 240
742 1353 -95
3575 3805 -148
980 4739 67
664 873 65
4438 4708 10
19 415 121
3260 4537 177
1746 4089 31
3110 4559 -133
4865 4869 -80
177 1958 122
1216 3674 -145
1540 3113 152
2636 2945 94
1922 2292 229
1526 3491 96
146 3457 149
1551 1816 60
183 2440 178
736 4000 232
76 1628 1
303 2477 144
2499 4024 73
1374 1809 224
137 1139 233
2749 4505 184
2054 3423 5
1513 1540 198
1322 2917 23
1154 4312 -96
644 3900 214
1639 4510 5
732 2904 113
1773 3586 -104
1476 2294 -141
1385 2603 92
2317 4256 133
3808 4772 -133
3245 3908 23
169 1216 -116
822 1338 -56
3713 4132 -71
585 4295 -61
1567 2313 188
2521 3077 -55
389 4509 -118
2199 2509 -72
3138 4452 -140
1169 1490 -14
4317 4923 188
863 2837 203
15 3845 243
2714 3836 -102
1908 2464 -6
1453 2241 12
1962 4019 -89
4684 4728 64
348 1587 -117
902 1828 207
173 1795 10
3799 4125 -14
2942 3653 -15
1300 2826 104
501 3348 -6
2352 2455 95
2343 4257 150
1387 4694 213
3209 3458 233
4700 4974 180
595 4938 247
272 1974 66
716 1539 212
1216 2528 -62
3517 3610 243
1338 2598 -91
1100 2647 -125
594 3595 54
1161 4406 -138
1884 3216 -112
783 3162 213
726 3190 -136
1162 1662 162
859 1016 163
92 4957 177
2714 4293 118
1505 3636 72
2596 3313 101
1462 4119 -52
76 3486 161
2433 2910 133
1504 4499 -124
1008 4534 -101
175 4966 -142
1283 3119 154
1743 2313 -75
323 3667 222
795 4418 -64
1221 3809 69
2481 2639 -86
2135 3299 221
4716 4826 -23
88 1272 -124
3161 3576 70
3835 4521 36
1379 2299 -7
998 1481 52
2437 4745 197
65 1541 130
2767 4352 218
2280 4066 174
991 3177 50
1228 2958 -145
1972 4665 170
2656 3365 -84
2011 3395 227
2312 4035 224
556 4236 -6
1212 4911 149
187 2866 119
936 1810 -3
492 4035 240
33 1185 38
1153 3124 130
1308 2663 173
2254 3988 166
823 3836 71
85 1474 -96
1054 2670 -33
17 4524 -5
2524 3766 -2
1200 2720 118
3935 4442 -135
369 1316 -74
4261 4628 136
455 2957 197
3084 4744 -77
1806 3728 28
2396 4896 -139
2827 4600 7
1198 3543 -60
309 1627 204
1716 3458 149
2073 4884 37
1020 3756 -43
1107 3164 53
2486 3904 -2
1036 3119 114
1495 4695 24
1181 2634 250
776 3380 208
3951 4483 -19
1331 4463 -56
567 4188 0
2632 3487 170
4004 4894 -20
1671 4353 213
207 1928 165
1306 1988 108
126 4815 -86
1391 2770 -64
2483 3690 102
1085 1683 -113
2151 4099 -36
2272 4135 89
1015 2638 -15
3544 4667 -145
429 1877 14
1969 4404 -113
2293 4990 -135
151 157 198
2334 3409 227
530 1443 -145
1406 4299 68
3277 4978 241
385 3152 41
4129 4176 -131
2762 3240 226
2044 2517 -46
632 4121 65
3151 4023 120
1189 3820 -78
1840 3426 -28
2315 3886 -47
3885 4479 129
1300 1864 189
570 2451 243
4649 4699 -15
2688 4970 119
1263 4063 24
3653 4237 77
3286 4241 55
1075 4607 116
465 3647 -72
2597 4857 -87
1030 4432 -80
3246 4135 2
3479 3817 -53
3755 3992 159
3636 4834 -37
3839 4702 -124
1482 3616 23
1092 2187 121
2344 4808 -144
901 4603 -97
2822 4072 -112
1152 3438 99
751 1207 113
673 3956 -119
2131 2513 187
1354 3141 -1
620 1950 -83
1800 4166 187
3491 4561 107
2334 3798 -3
2351 2692 5
3610 4632 -19
1996 4123 -123
2922 3608 -35
1941 2218 98
200 3269 -115
1301 2945 186
721 2385 234
1864 4394 125
604 2979 49
2271 4458 179
1870 4943 85
1013 2778 214
4530 4767 151
149 1500 121
1848 3727 88
1993 2297 -42
2167 2870 235
781 2938 79
2117 2695 19
867 1986 -133
1718 2284 -2
1978 2667 -12
3082 3746 153
244 852 -140
1640 3792 -16
663 3431 -150
2496 3671 111
2244 2522 177
2 3041 29
1136 3689 -104
246 3096 -44
2017 2459 170
313 2971 143
1675 2257 -36
1212 1751 76
1913 4742 219
1056 1248 143
4084 4939 -87
2417 2689 132
3216 3329 -18
1019 2163 96
1829 2728 162
124 3689 -15
471 3287 211
955 1283 -71
1345 3657 23
3517 3940 104
2187 2607 -138
1007 1963 155
3162 3578 66
1520 2971 61
2834 3257 179
349 3876 1
1744 1873 -126
2635 4875 -144
1276 4421 -23
263 2725 108
1617 2461 70
229 3657 14
2511 2882 48
2654 3703 91
2255 4931 -134
1125 3056 -13
711 2466 -102
2539 3445 131
0 509 173
1909 3057 159
3200 3605 20
682 2868 79
2089 2198 -46
2752 4060 228
835 2510 103
1843 4473 94
1338 2260 -104
2888 4636 204
993 2619 227
231 3744 31
2884 4990 208
2534 3599 -35
4069 4075 -72
2282 3037 134
1331 2567 61
1067 3260 -4
4415 4996 215
2180 2589 107
3189 4533 -33
2290 3029 114
320 3593 101
1460 4625 -53
3396 3747 248
383 2758 113
3886 4038 -40
2602 2859 168
1523 3532 39
1809 2185 228
550 3840 -111
3892 4693 234
986 1649 130
251 2648 198
202 1902 107
331 1791 64
1656 1811 212
3034 3388 -59
3582 4455 221
3166 3415 163
1197 3776 224
3433 4979 -91
50 4375 156
2974 2978 89
1315 3864 72
949 4880 -87
2371 4955 16
3629 4148 195
336 4816 -39
1330 4781 90
4186 4289 171
4275 4447 110
475 3374 105
3711 4115 136
1009 1328 236
1548 4070 62
376 4505 59
1743 2598 -51
227 4085 124
1830 1913 -44
1525 4211 212
418 1563 59
3800 4770 -63
445 3541 181
2489 3650 -1
1669 3395 120
2607 2945 -102
1331 1957 89
2309 4214 -25
646 3050 -56
1019 3368 -20
2378 2754 -114
118 3246 210
3482 3577 -57
577 2634 14
1962 3518 -62
3786 4248 113
1190 4457 -49
2662 3687 -111
587 4799 -25
3201 4250 168
3026 4527 -46
764 2640 -101
2539 3700 235
30 1930 145
1126 1833 89
932 4792 -132
3572 4535 -112
1204 1649 -115
1928 2875 248
1168 2856 -65
454 2275 108
1472 2532 8
2789 3107 62
3498 4815 47
247 1668 191
178 1667 -123
1195 4599 99
711 2148 -136
1714 4958 -27
1935 4775 105
1971 4273 89
1954 2594 248
3805 4087 210
2957 3828 -123
464 1457 122
1359 2665 189
1389 3449 174
2347 3459 78
3303 3401 -113
1389 2105 -18
963 4513 -41
3093 4117 -55
519 2403 -79
1302 2318 -2
321 1362 160
559 4221 163
1319 4046 196
876 1277 -71
1014 1237 146
418 3575 3
988 4756 -46
515 3816 -124
2511 3844 -135
1114 2704 73
1631 1955 74
282 4495 -140
443 4373 -45
404 3978 -117
2031 3977 234
1941 2733 238
3263 4761 247
1733 2382 236
1443 4924 6
1283 1294 60
300 3070 132
1849 2501 -77
2988 3873 247
3957 4164 164
1036 3158 -49
967 3412 -13
18 3453 -81
1005 4484 -132
1256 4632 34
135 2033 86
2115 2546 163
813 4373 102
2554 3149 -17
874 4654 -28
2435 3712 119
4414 4552 -41
1394 1576 19
2333 3685 -91
405 2516 -54
441 1441 239
717 1181 225
